Phase,Phase Name,Step,Step Title,Owner,Validator,Depends On,Acceptance,Feature Flag,Status,% Complete,Exposure Cohort,Validator Sign-off,Gap Report,Deployed Version,Deploy Date,Task ID,Last Updated,Notes/Blockers
0,Foundation & Run Engine,0.1,"Repo scaffold: express app, project layout, /healthz with real metrics (uptime, DB, engine queue depth)",claude-agent,eng-reviewer,-,"npm start serves /healthz with real metrics; all files <300 lines; response shape {ok:true|false}",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-001,2026-07-02,Standalone-deployable; no platform DB dependency
0,Foundation & Run Engine,0.2,"SQLite schema + migration runner: runs, run_steps, gates, gate_approvals, servers, log_chunks tables",claude-agent,eng-reviewer,0.1,"Migrations apply idempotently on boot; all queries parameterized ($1/?); schema covers parallel runs keyed by run_id",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-002,2026-07-02,Single-writer SQLite file on PVC
0,Foundation & Run Engine,0.3,"Auth layer: operator login + API key, requireAuth on ALL data routes, capability checks (console:runs:write) on ALL mutations",claude-agent,eng-reviewer,0.2,"Unauthenticated request to any /api route returns 401; mutation without capability returns 403; login + health allowlisted only",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-003,2026-07-02,
0,Foundation & Run Engine,0.4,"Config/secrets layer: env + k8s Secret only, startup config validation, log redaction of credentials",claude-agent,eng-reviewer,0.1,"Zero secrets in code or SQLite or logs; redaction test proves iDRAC/SP creds never appear in structured logs; missing config fails fast at boot",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-004,2026-07-02,Hard constraint: secrets NEVER in code/logs
0,Foundation & Run Engine,0.5,"Pipeline engine core: run state machine (phase>stage), child-process executor wrapping factory bash stages 00-60, structured JSONL logs, exit-code handling, halt-at-any-phase",claude-agent,eng-reviewer,"0.2,0.4","Engine executes a stub stage as child process, captures stdout/stderr to log_chunks, transitions state on exit code, and honors an operator halt mid-run",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-005,2026-07-02,Wraps github.com/gusitllc/azure-local-2node-factory
0,Foundation & Run Engine,0.6,"SSE live log streaming: GET /api/runs/:id/logs with resume-from-offset, per-run channel",claude-agent,eng-reviewer,0.5,"Browser EventSource receives live stage output <1s latency; reconnect resumes from last event id without loss",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-006,2026-07-02,
0,Foundation & Run Engine,0.7,"Intervention gate engine: per-run configurable gates, paused state, approve/reject API with audit trail (who, when, note)",claude-agent,eng-reviewer,0.5,"Run configured with gate-before-phase-N pauses there, resumes only on authorized approval, records approver in gate_approvals; reject aborts cleanly",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-007,2026-07-02,Owner requirement: gates configurable per run
0,Foundation & Run Engine,0.8,"Parallel run scheduler: N independent pipeline runs, per-run isolated workdir + media-server port allocation, no shared mutable state",claude-agent,eng-reviewer,"0.5,0.7","Two concurrent runs execute stages simultaneously without workdir/port/log cross-talk; automated concurrency test passes",AZLC_CONSOLE_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-008,2026-07-02,Owner requirement: multiple clusters at the same time
1,Phase 1 iDRAC Prep,1.1,"Admin UI shell: azurestack.nyc dark-gold aesthetic, vanilla JS + fetch, esc() on all dynamic DOM, runs list + new-run wizard",claude-agent,eng-reviewer,"0.3,0.6","Wizard creates a run with gate config; runs list shows live phase/status; zero framework deps; XSS probe on server names renders escaped",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-009,2026-07-02,NO React/Vue/CDN
1,Phase 1 iDRAC Prep,1.2,"Multi-iDRAC intake: operator enters many iDRAC IPs + credentials; creds held in k8s Secret/env reference only, never persisted plaintext",claude-agent,eng-reviewer,1.1,"Paste of N iDRAC IPs creates N server rows; creds absent from DB dump and logs; per-server reachability precheck shown",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-010,2026-07-02,L2 reach to 192.168.x iDRACs from luca-capacity verified first
1,Phase 1 iDRAC Prep,1.3,"Redfish inventory via lib/redfish.sh wrapper: model, serial, health, BIOS/iDRAC versions per server; results table in UI",claude-agent,eng-reviewer,1.2,"Inventory of a real server populates model/serial/health in servers table and UI within 60s; failures show verbatim Redfish error",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-011,2026-07-02,
1,Phase 1 iDRAC Prep,1.4,"Firmware baseline compare: current component versions vs baseline catalog; diff report per server",claude-agent,eng-reviewer,1.3,"Report lists each component as ok/behind/unknown against configured baseline; baseline is config-driven not hardcoded",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-012,2026-07-02,Lesson: Broadcom NIC firmware gap presents as no-network
1,Phase 1 iDRAC Prep,1.5,"Firmware update plan + apply via Redfish SimpleUpdate: ordered plan, job polling, reboot orchestration, per-server progress",claude-agent,eng-reviewer,1.4,"Operator approves plan; SimpleUpdate jobs tracked to completion; post-update re-inventory confirms versions; partial failure halts that server only",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-013,2026-07-02,OOB path proven on fl fleet (iDRAC Update Agent lineage)
1,Phase 1 iDRAC Prep,1.6,"Phase-1 completion gate: verbatim error surfacing, per-server halt/skip controls, intervention gate before Phase 2",claude-agent,eng-reviewer,"0.7,1.5","Any Redfish/firmware error shown verbatim in UI; operator can exclude a server; run pauses at gate until approval",AZLC_IDRAC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-014,2026-07-02,
2,Phase 2 Node Build,2.1,"Combined ISO build integration: gen-autounattend + combined-ISO builder as engine stages; wim verified via pycdlib extraction (never trust filenames); artifact checksums recorded per run",claude-agent,eng-reviewer,"0.5,1.6","Built ISO passes wim-presence + checksum verification before any vmedia attach; verification failure blocks the stage with clear error",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-015,2026-07-02,No ISO mounting in container; pycdlib only
2,Phase 2 Node Build,2.2,"Range-capable HTTP media server for virtual media: per-run port, reachable by iDRACs, serves ISO with HTTP Range support",claude-agent,eng-reviewer,"0.8,2.1","iDRAC successfully mounts ISO from console pod URL; Range requests verified; two parallel runs serve different ISOs on different ports",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-016,2026-07-02,Needs Service/hostNetwork decision for iDRAC-reachable IP
2,Phase 2 Node Build,2.3,"Stages 18/20: Redfish vmedia attach + one-time boot to ISO, self-wiping WinPE imaging kickoff per node",claude-agent,eng-reviewer,2.2,"Node boots the combined ISO via one-time boot and begins imaging; stage status transitions recorded per node",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-017,2026-07-02,Existing proven stages wrapped as-is
